request_num,latency_ms
1,43.42222213745117
2,0.10585784912109375
3,0.05888938903808594
4,0.08535385131835938
5,0.06079673767089844
6,0.09417533874511719
7,0.10085105895996094
8,0.12826919555664062
9,0.11706352233886719
10,0.10514259338378906
11,0.10538101196289062
12,0.11801719665527344
13,0.1049041748046875
14,0.10538101196289062
15,0.10633468627929688
16,0.10585784912109375
17,0.10704994201660156
18,0.10633468627929688
19,0.1068115234375
20,0.10609626770019531
21,0.10466575622558594
22,0.12350082397460938
23,0.1049041748046875
24,0.10466575622558594
25,0.12350082397460938
26,0.10514259338378906
27,0.10442733764648438
28,0.10442733764648438
29,0.10561943054199219
30,0.10514259338378906
31,0.10561943054199219
32,0.12874603271484375
33,0.10752677917480469
34,0.10657310485839844
35,0.12254714965820312
36,0.10657310485839844
37,0.10395050048828125
38,0.11968612670898438
39,0.10752677917480469
40,0.10561943054199219
41,0.1049041748046875
42,0.10561943054199219
43,0.10752677917480469
44,0.10514259338378906
45,0.1049041748046875
46,0.10609626770019531
47,0.1049041748046875
48,0.10633468627929688
49,0.10585784912109375
50,0.10633468627929688
51,0.12183189392089844
52,0.10704994201660156
53,0.10728836059570312
54,0.10538101196289062
55,0.10609626770019531
56,0.10609626770019531
57,0.12826919555664062
58,0.10704994201660156
59,0.10085105895996094
60,0.1049041748046875
61,0.1266002655029297
62,0.10514259338378906
63,0.10466575622558594
64,0.10514259338378906
65,0.10609626770019531
66,0.10609626770019531
67,0.10561943054199219
68,0.10585784912109375
69,0.10538101196289062
70,0.10514259338378906
71,0.12326240539550781
72,0.10514259338378906
73,0.10514259338378906
74,0.12683868408203125
75,0.10371208190917969
76,0.10395050048828125
77,0.10585784912109375
78,0.10514259338378906
79,0.10418891906738281
80,0.10085105895996094
81,0.12445449829101562
82,0.1068115234375
83,0.1068115234375
84,0.12421607971191406
85,0.10657310485839844
86,0.10561943054199219
87,0.12183189392089844
88,0.10609626770019531
89,0.10538101196289062
90,0.12111663818359375
91,0.11205673217773438
92,0.1049041748046875
93,0.11396408081054688
94,0.102996826171875
95,0.10609626770019531
96,0.11205673217773438
97,0.13113021850585938
98,0.10657310485839844
99,0.1380443572998047
100,0.12612342834472656
101,0.10800361633300781
102,0.10609626770019531
103,0.10609626770019531
104,0.10585784912109375
105,0.11420249938964844
106,0.118255615234375
107,0.12302398681640625
108,0.12183189392089844
