request#,latency_ms,success
355,4.56,yes
356,4.50,yes
357,4.69,yes
358,4.53,yes
359,4.55,yes
360,4.62,yes
361,4.45,yes
362,5.68,yes
363,5.42,yes
364,4.99,yes
365,4.74,yes
366,4.56,yes
367,4.54,yes
368,4.57,yes
369,4.61,yes
370,4.58,yes
371,5.15,yes
372,4.75,yes
373,4.56,yes
374,4.45,yes
375,4.59,yes
376,4.49,yes
377,4.68,yes
378,4.73,yes
379,4.70,yes
380,4.66,yes
381,4.63,yes
382,4.62,yes
383,4.57,yes
384,4.53,yes
385,5.33,yes
386,4.59,yes
387,4.54,yes
388,4.88,yes
389,4.60,yes
390,4.80,yes
391,4.59,yes
392,4.58,yes
393,4.59,yes
394,4.59,yes
395,4.89,yes
396,4.50,yes
397,4.89,yes
398,4.66,yes
399,4.58,yes
400,4.62,yes
401,4.53,yes
402,4.55,yes
403,5.08,yes
404,4.83,yes
405,4.67,yes
406,5.93,yes
407,4.77,yes
408,4.75,yes
409,4.77,yes
410,5.26,yes
411,4.79,yes
412,5.18,yes
413,6.62,yes
414,4.55,yes
415,4.85,yes
416,4.83,yes
417,4.88,yes
418,4.86,yes
419,4.60,yes
420,4.54,yes
421,4.57,yes
422,4.66,yes
423,4.64,yes
424,4.69,yes
425,4.73,yes
426,4.78,yes
427,4.57,yes
428,3.21,yes
429,4.62,yes
430,4.61,yes
431,5.17,yes
432,4.58,yes
433,4.62,yes
434,5.74,yes
435,4.64,yes
436,4.61,yes
437,4.52,yes
438,4.56,yes
439,4.44,yes
440,4.93,yes
441,4.67,yes
442,4.70,yes
443,4.63,yes
444,4.64,yes
445,5.29,yes
446,4.60,yes
447,4.72,yes
448,4.63,yes
449,4.64,yes
450,4.71,yes
451,4.47,yes
452,4.52,yes
453,4.63,yes
454,4.90,yes
455,4.98,yes
456,4.48,yes
457,4.67,yes
458,4.63,yes
459,4.93,yes
460,4.67,yes
461,4.89,yes
462,4.50,yes
463,4.59,yes
464,4.71,yes
465,4.66,yes
466,4.62,yes
467,4.66,yes
468,4.62,yes
469,5.06,yes
470,4.66,yes
471,4.82,yes
472,4.77,yes
473,4.74,yes
474,4.77,yes
475,4.73,yes
476,4.74,yes
477,4.69,yes
478,4.57,yes
479,4.86,yes
480,5.08,yes
481,5.03,yes
482,4.71,yes
483,5.01,yes
484,4.61,yes
485,4.50,yes
486,4.59,yes
487,4.61,yes
488,5.01,yes
489,4.61,yes
490,4.62,yes
491,4.50,yes
492,4.66,yes
493,4.63,yes
494,4.69,yes
495,4.66,yes
496,4.64,yes
497,4.65,yes
498,5.22,yes
499,4.55,yes
500,4.62,yes
501,4.59,yes
502,4.69,yes
503,4.57,yes
504,4.56,yes
505,4.67,yes
506,4.56,yes
507,4.56,yes
508,5.50,yes
509,4.68,yes
510,4.61,yes
511,4.58,yes
512,4.65,yes
513,4.47,yes
514,5.35,yes
515,4.56,yes
516,4.51,yes
517,4.57,yes
518,5.68,yes
519,4.59,yes
520,5.22,yes
521,4.47,yes
522,4.52,yes
523,4.55,yes
524,4.46,yes
525,4.88,yes
526,4.55,yes
527,4.67,yes
528,4.57,yes
529,4.62,yes
530,4.58,yes
531,4.52,yes
532,4.55,yes
533,4.51,yes
534,4.78,yes
535,5.04,yes
536,4.51,yes
537,4.59,yes
538,4.53,yes
539,4.64,yes
540,4.67,yes
541,5.10,yes
542,4.44,yes
543,4.76,yes
544,4.49,yes
545,4.86,yes
546,4.55,yes
547,4.49,yes
548,4.56,yes
549,4.50,yes
550,4.65,yes
551,4.57,yes
552,4.68,yes
553,5.02,yes
554,4.62,yes
555,4.55,yes
556,4.51,yes
557,5.53,yes
558,5.51,yes
559,4.67,yes
560,4.65,yes
561,4.65,yes
562,4.67,yes
563,4.64,yes
564,4.48,yes
565,4.65,yes
566,4.57,yes
567,4.54,yes
568,4.42,yes
569,4.55,yes
570,4.72,yes
571,4.57,yes
572,4.66,yes
573,4.52,yes
574,4.41,yes
575,4.47,yes
576,4.47,yes
577,4.47,yes
578,4.58,yes
579,5.10,yes
580,4.74,yes
581,4.64,yes
582,4.52,yes
583,4.72,yes
584,4.64,yes
585,4.66,yes
586,4.71,yes
587,4.71,yes
588,4.66,yes
589,4.53,yes
590,4.62,yes
591,4.67,yes
592,4.55,yes
593,4.70,yes
594,4.57,yes
595,4.69,yes
596,4.58,yes
597,4.66,yes
598,5.27,yes
599,4.52,yes
600,4.57,yes
601,4.63,yes
602,4.58,yes
603,5.08,yes
604,4.60,yes
605,4.57,yes
606,4.51,yes
607,4.60,yes
608,4.55,yes
609,5.08,yes
610,5.38,yes
611,5.27,yes
612,4.57,yes
613,4.67,yes
614,4.64,yes
615,4.58,yes
616,4.85,yes
617,4.84,yes
618,5.67,yes
619,4.63,yes
620,4.55,yes
621,4.72,yes
622,4.60,yes
623,4.95,yes
624,5.98,yes
625,4.68,yes
626,4.54,yes
627,4.55,yes
628,4.65,yes
629,4.88,yes
630,4.90,yes
631,5.53,yes
632,4.61,yes
633,4.67,yes
634,4.56,yes
635,5.46,yes
636,4.70,yes
637,4.54,yes
638,5.22,yes
639,4.62,yes
640,4.58,yes
641,4.99,yes
642,4.54,yes
643,4.81,yes
644,5.70,yes
645,4.57,yes
646,4.47,yes
647,4.64,yes
648,4.82,yes
649,4.89,yes
650,4.44,yes
651,4.59,yes
652,4.80,yes
653,4.82,yes
654,4.53,yes
655,4.93,yes
656,4.60,yes
657,4.45,yes
658,5.05,yes
659,4.54,yes
660,4.56,yes
661,4.66,yes
662,4.51,yes
663,4.54,yes
664,4.59,yes
665,5.30,yes
666,4.63,yes
667,4.55,yes
668,4.65,yes
669,4.52,yes
670,4.66,yes
671,3.93,yes
672,4.54,yes
673,4.45,yes
674,4.59,yes
675,4.59,yes
676,4.59,yes
677,4.52,yes
678,4.55,yes
679,4.61,yes
680,4.73,yes
681,4.94,yes
682,4.42,yes
683,4.62,yes
684,4.53,yes
685,4.48,yes
686,4.51,yes
687,4.61,yes
688,4.57,yes
689,4.86,yes
690,4.89,yes
691,5.11,yes
692,4.43,yes
693,4.56,yes
694,4.60,yes
695,4.64,yes
696,4.49,yes
697,4.56,yes
698,4.63,yes
699,4.56,yes
700,4.44,yes
701,4.82,yes
702,4.52,yes
703,4.64,yes
704,4.59,yes
705,4.55,yes
706,4.54,yes
707,4.62,yes
708,4.96,yes
709,5.02,yes
710,4.62,yes
711,4.80,yes
712,5.20,yes
713,4.63,yes
714,4.57,yes
715,4.51,yes
716,4.82,yes
717,4.50,yes
718,4.61,yes
719,4.63,yes
720,4.65,yes
721,4.55,yes
722,4.59,yes
723,4.71,yes
724,4.69,yes
725,4.71,yes
726,4.62,yes
727,5.26,yes
728,4.82,yes
729,4.58,yes
730,4.64,yes
731,4.64,yes
732,4.75,yes
733,4.58,yes
734,4.47,yes
735,4.53,yes
736,4.56,yes
737,4.56,yes
738,4.51,yes
739,4.56,yes
740,5.49,yes
741,4.61,yes
742,4.56,yes
743,4.59,yes
744,4.55,yes
745,4.55,yes
746,4.46,yes
747,4.68,yes
748,5.25,yes
749,4.54,yes
750,4.50,yes
751,4.49,yes
752,4.76,yes
753,4.58,yes
754,4.75,yes
755,5.11,yes
756,4.72,yes
757,4.92,yes
758,4.55,yes
759,4.49,yes
760,4.66,yes
761,4.52,yes
762,4.55,yes
763,4.61,yes
764,4.42,yes
765,4.58,yes
766,4.49,yes
767,4.78,yes
768,4.53,yes
769,4.62,yes
770,4.59,yes
771,4.55,yes
772,4.93,yes
